Image_URL,Featured,Shortlisted,Location_Name,Rating,Tags,Property_Type,Property_Link,Price,Price_per_sqft,Possession_Status,Highlights,Dealer_Name,Dealer_Badge,View_Number,Chat_Now,Call
https://imagecdn.99acres.com/media1/21001/15/420035720M-1726042591717.jpg,,Yes,DLF THE ULTIMA,4.1,Resale,"4 BHK Flatin Sector 81, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2825-sq-ft-r8-spid-H68652722,₹4 Cr,"₹10,880 /sqft",Ready To Move,"Fitness Center/ Gym, Club/ Community Center, Swimming Pool Available, Rain Water Harvesting",Team Lease,None,Available,Available,Available
https://imagecdn.99acres.com/media1/26187/16/523756573M-1728551192357.webp,,Yes,TATA PRIMANTI,4.1,Resale,"4 BHK FlatinSector 72, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-tata-primanti-sector-72-gurgaon-3355-sq-ft-spid-O77885857,₹7 Cr,"₹20,864 /sqft",Ready To Move,"North-East Facing, Private Garden, Fresh Construction, Recently Renovated",Group 3 Realtors,FEATURED DEALER,Available,Available,Available
https://static.99acres.com/universalapp/img/noImageBgPremium.svg,No,No,VATIKA BOULEVARD RESIDE...,,Resale,"3 BHK FlatinSector 83, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-boulevard-residences-and-heights-sector-83-gurgaon-1500-sq-ft-spid-X78295765,₹1.5 Cr,"₹10,000 /sqft",Ready To Move,,Owner,None,Not Available,Available,Not Available
https://imagecdn.99acres.com/media1/26126/12/522532347M-1728031885392.jpg,,Yes,"South City 1,, Gurgaon",,Resale,"Residential land / Plotin South City 1, Gurgaon",https://www.99acres.com/residential-land-plot-for-sale-in-south-city-1-gurgaon-500-sq-yard-spid-N77660595,₹14.11 Cr,"₹31,356 /sqft",Ready To Move,,Optimal Realty,FEATURED DEALER,Available,Available,Available
https://imagecdn.99acres.com/media1/25775/15/515515119M-1730931421060.webp,,Yes,BESTECH PARK VIEW SANSK...,4.1,Resale,"3 BHK FlatinSector 92, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-sanskruti-sector-92-gurgaon-2120-sq-ft-r1-spid-C77138881,₹2.2 Cr,"₹10,377 /sqft",Ready To Move,"st. xavier school Nearby, aarvy hospital Nearby, sapphire mall Nearby, Gated Society",MK Realty,None,Available,Available,Available
https://static.99acres.com/universalapp/img/noImageBgPremium.svg,No,No,EMAAR MGF EMERALD FLOOR...,3.8,Resale,"4 BHK FlatinSector 65, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-emerald-floors-premier-sector-65-gurgaon-1950-sq-ft-spid-B78316621,₹3.1 Cr,"₹15,897 /sqft",Ready To Move,,Owner,None,Not Available,Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,"A Block Sushant Lok Phase 1,, Gurgaon",,"RESALE, RESALE","4 BHK Independent Builder Floorin A Block Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-a-block-sushant-lok-phase-1-gurgaon-3240-sq-ft-spid-G77368047,₹4.1 Cr,,,,Property Junction,None,Available,Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,"Sector 46,, Gurgaon",,"RESALE, RESALE","Residential land / Plotin Sector 46, Gurgaon",https://www.99acres.com/residential-land-plot-for-sale-in-sector-46-gurgaon-161-sq-yard-spid-M77364331,₹4.7 Cr,,,,Pillars to Home,None,Available,Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,Bestech Park View Sanskruti,4.1,"RESALE, RESALE","3 BHK FlatinSector 92, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-sanskruti-sector-92-gurgaon-1995-sq-ft-spid-C77704667,₹2.18 Cr,,,,Capital India Realty,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,Mapsko Mount Ville,4.1,"RESALE, RESALE","4 BHK FlatinSector 79, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-mapsko-mount-ville-sector-79-gurgaon-2650-sq-ft-spid-N77613781,₹3.5 Cr,,,,Griha Siddhi Estate,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,Mapsko Mount Ville,4.1,"RESALE, RESALE","3 BHK FlatinSector 79, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-mapsko-mount-ville-sector-79-gurgaon-1815-sq-ft-spid-R77613293,₹2.3 Cr,,,,Griha Siddhi Estate,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,DLF The Skycourt,4.0,"RESALE, RESALE","3 BHK FlatinSector 86, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-skycourt-sector-86-gurgaon-1930-sq-ft-r4-spid-B42451071,₹2.15 Cr,,,,G Prop,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,Tulip Purple,3.8,"RESALE, RESALE","4 BHK FlatinSector 69, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-tulip-purple-sector-69-gurgaon-2400-sq-ft-spid-O76554851,₹2.75 Cr,,,,Isha Associates,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,Experion The Westerlies,,"RESALE, RESALE","3 BHK Independent Builder FloorinSector 108, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-experion-the-westerlies-sector-108-gurgaon-1748-sq-ft-spid-V77363875,₹2.15 Cr,,,,Dwarka Expressway Homes,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,"Sector 46,, Gurgaon",,"RESALE, RESALE","Residential land / PlotinSector 46, Gurgaon",https://www.99acres.com/residential-land-plot-for-sale-in-sector-46-gurgaon-181-sq-yard-spid-R77637929,₹5.18 Cr,,,,Roof Realtech Pvt ltd,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,Emaar MGF Emerald Floors Premier,3.8,"RESALE, RESALE","4 BHK FlatinSector 65, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-emerald-floors-premier-sector-65-gurgaon-1950-sq-ft-spid-B78316621,₹3.1 Cr,,,,Owner,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,"Sector 4,, Gurgaon",,"RESALE, RESALE","5 BHK Independent Builder FloorinSector 4, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-builder-floor-for-sale-in-sector-4-gurgaon-4950-sq-ft-spid-W77705743,₹3.5 Cr,,,,Vishal Properties,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,Emaar Emerald Hills,4.0,"RESALE, RESALE","5 BHK Independent Builder FloorinSector 65, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-builder-floor-for-sale-in-emaar-emerald-hills-sector-65-gurgaon-4500-sq-ft-spid-E77675033,₹4.9 Cr,,,,PARAMOUNT,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,"Suncity,, Gurgaon",,"RESALE, RESALE","3 BHK Independent Builder FloorinSuncity, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-suncity-gurgaon-1850-sq-ft-spid-E77032981,₹3.1 Cr,,,,PARAMOUNT,None,Available,Not Available,Not Available
