Image_URL,Featured,Shortlisted,Location_Name,Rating,Tags,Property_Type,Property_Link,Price,Price_per_sqft,Possession_Status,Highlights,Dealer_Name,Dealer_Badge,View_Number,Chat_Now,Call
https://imagecdn.99acres.com/media1/21001/15/420035720M-1726042591717.jpg,,Yes,DLF THE ULTIMA,4.1,Resale,"4 BHK Flatin Sector 81, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2825-sq-ft-r8-spid-H68652722,₹4 Cr,"₹10,880 /sqft",Ready To Move,"Fitness Center/ Gym, Club/ Community Center, Swimming Pool Available, Rain Water Harvesting",Team Lease,None,Available,Available,Available
https://imagecdn.99acres.com/media1/26187/16/523756573M-1728551192357.webp,,Yes,TATA PRIMANTI,4.1,Resale,"4 BHK FlatinSector 72, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-tata-primanti-sector-72-gurgaon-3355-sq-ft-spid-O77885857,₹7 Cr,"₹20,864 /sqft",Ready To Move,"North-East Facing, Private Garden, Fresh Construction, Recently Renovated",Group 3 Realtors,FEATURED DEALER,Available,Available,Available
https://static.99acres.com/universalapp/img/noImageBgPremium.svg,No,No,VATIKA BOULEVARD RESIDE...,,Resale,"3 BHK FlatinSector 83, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-boulevard-residences-and-heights-sector-83-gurgaon-1500-sq-ft-spid-X78295765,₹1.5 Cr,"₹10,000 /sqft",Ready To Move,,Owner,None,Not Available,Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,Signature Global Park,3.9,"RESALE, RESALE","3 BHK Independent Builder Floorin Sohna, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-signature-global-park-sohna-gurgaon-2000-sq-ft-spid-Z77852775,₹1.95 Cr,,,,GOLDEN KEY INFRATECH,None,Available,Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,Signature Global Park,3.9,"RESALE, RESALE","3 BHK Independent Builder Floorin Sohna, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-signature-global-park-sohna-gurgaon-2000-sq-ft-spid-P77852577,₹1.85 Cr,,,,GOLDEN KEY INFRATECH,None,Available,Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,M3M Heights,,"RESALE, RESALE","3 BHK FlatinSector 65, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-2040-sq-ft-r1-spid-U76665093,₹3.88 Cr,,,,M/s Design My Shangrila,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,"Sector 43,, Gurgaon",,"RESALE, RESALE","Residential land / PlotinSector 43, Gurgaon",https://www.99acres.com/residential-land-plot-for-sale-in-sector-43-gurgaon-502-sq-yard-spid-Q77688701,₹15.08 Cr,,,,Aaditya Properties,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,"DLF Phase 1,, Gurgaon",,"RESALE, RESALE","4 BHK Independent Builder FloorinDLF Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-1-gurgaon-3000-sq-ft-spid-Z77321905,₹3.85 Cr,,,,SONI REALTORS,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,"Sector 57,, Gurgaon",,"RESALE, RESALE","3 BHK Independent Builder FloorinSector 57, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-57-gurgaon-3078-sq-ft-spid-X77534763,₹3.2 Cr,,,,Aaditya Properties,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,"Sector 57,, Gurgaon",,"RESALE, RESALE","4 BHK Independent Builder FloorinSector 57, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sector-57-gurgaon-2700-sq-ft-spid-I78137509,₹3 Cr,,,,vohra estate,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,"DLF Phase 4, Gurgaon",,"RESALE, RESALE","4 BHK Independent Builder FloorinDLF Phase 4, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-4-gurgaon-2800-sq-ft-spid-L76595277,₹3.69 Cr,,,,SONI REALTORS,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,PARK FACING LUXURY BUILDER,,"RESALE, RESALE","3 BHK Independent Builder FloorinDLF Phase 1, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-1-gurgaon-2000-sq-ft-spid-L78092887,₹2.81 Cr,,,,Kapsons Estate,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,"DLF Phase 2,, Gurgaon",,"RESALE, RESALE","4 BHK Independent Builder FloorinDLF Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-2952-sq-ft-spid-E77595131,₹5.25 Cr,,,,Buniyad Real Estate Services,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,M3M Heights,,"RESALE, RESALE","3 BHK FlatinSector 65, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-1828-sq-ft-spid-A77452501,₹3.35 Cr,,,,M/s Design My Shangrila,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,"DLF Phase 1,, Gurgaon",,"RESALE, RESALE","Residential land / PlotinDLF Phase 1, Gurgaon",https://www.99acres.com/residential-land-plot-for-sale-in-dlf-phase-1-gurgaon-1022-sq-yard-spid-B76664797,₹39 Cr,,,,3D Buildcon,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,Emaar Emerald Hills,4.0,"RESALE, RESALE","3 BHK Independent Builder FloorinSector 65, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-emaar-emerald-hills-sector-65-gurgaon-2100-sq-ft-spid-D77507523,₹4.25 Cr,,,,Altitude Realty,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,"Sector 57,, Gurgaon",,"RESALE, RESALE","3 BHK Independent Builder FloorinSector 57, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-57-gurgaon-2340-sq-ft-spid-H78064195,₹2.5 Cr,,,,vohra estate,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,M3M Heights,,"RESALE, RESALE","2 BHK FlatinSector 65, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-1516-sq-ft-spid-Q77778203,₹2.7 Cr,,,,Star Shine Realtorz,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/GreenVerified.png,,Yes,Ansal API Esencia,3.3,"RESALE, RESALE","4 BHK Independent Builder FloorinSector 67, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-ansal-api-esencia-sector-67-gurgaon-2250-sq-ft-spid-K77574025,₹2.5 Cr,,,,R V HOMES,None,Available,Not Available,Not Available
